pair_name,disease1_name,disease1_id,disease2_name,disease2_id,RR_score
leukemia_lymphocytic_chronic_b_cell & lymphoma,leukemia_lymphocytic_chronic_b_cell,156,lymphoma,172,13.582556
immune_system_diseases & nervous_system_diseases,immune_system_diseases,140,nervous_system_diseases,211,13.41593
immunologic_deficiency_syndromes & nervous_system_diseases,immunologic_deficiency_syndromes,141,nervous_system_diseases,211,13.414398
amino_acid_metabolism_inborn_errors & anemia_aplastic,amino_acid_metabolism_inborn_errors,7,anemia_aplastic,10,13.342488
hemorrhagic_disorders & myeloproliferative_disorders,hemorrhagic_disorders,129,myeloproliferative_disorders,197,13.327293
immune_system_diseases & polyneuropathies,immune_system_diseases,140,polyneuropathies,242,13.325161
amino_acid_metabolism_inborn_errors & lymphoma,amino_acid_metabolism_inborn_errors,7,lymphoma,172,13.291472
hemorrhagic_disorders & immunologic_deficiency_syndromes,hemorrhagic_disorders,129,immunologic_deficiency_syndromes,141,13.025791
lupus_erythematosus_systemic & muscular_diseases,lupus_erythematosus_systemic,170,muscular_diseases,191,12.991809
anemia_aplastic & neoplasms_germ_cell_and_embryonal,anemia_aplastic,10,neoplasms_germ_cell_and_embryonal,205,12.969008
anemia_aplastic & ovarian_neoplasms,anemia_aplastic,10,ovarian_neoplasms,229,12.969008
lipidoses & retinitis_pigmentosa,lipidoses,163,retinitis_pigmentosa,258,12.892502
hypersensitivity & peripheral_nervous_system_diseases,hypersensitivity,134,peripheral_nervous_system_diseases,239,12.866803
abnormalities_multiple & aneurysm,abnormalities_multiple,0,aneurysm,12,12.803593
neoplasms & neoplasms_connective_and_soft_tissue,neoplasms,200,neoplasms_connective_and_soft_tissue,203,12.761659
myeloproliferative_disorders & purine_pyrimidine_metabolism_inborn_errors,myeloproliferative_disorders,197,purine_pyrimidine_metabolism_inborn_errors,249,12.531425
macular_degeneration & uveitis,macular_degeneration,177,uveitis,292,12.50851
autoimmune_diseases & muscular_diseases,autoimmune_diseases,21,muscular_diseases,191,12.433878
intellectual_disability & spastic_paraplegia_hereditary,intellectual_disability,146,spastic_paraplegia_hereditary,270,12.432553
arthritis_rheumatoid & craniofacial_abnormalities,arthritis_rheumatoid,18,craniofacial_abnormalities,76,12.42874
head_and_neck_neoplasms & hypotrichosis,head_and_neck_neoplasms,123,hypotrichosis,139,12.361057
immunologic_deficiency_syndromes & lipidoses,immunologic_deficiency_syndromes,141,lipidoses,163,12.35145
amino_acid_metabolism_inborn_errors & lupus_erythematosus_systemic,amino_acid_metabolism_inborn_errors,7,lupus_erythematosus_systemic,170,12.283619
goiter & hyperthyroidism,goiter,117,hyperthyroidism,136,12.188209
goiter & graves_disease,goiter,117,graves_disease,121,12.177396
immunologic_deficiency_syndromes & lupus_erythematosus_systemic,immunologic_deficiency_syndromes,141,lupus_erythematosus_systemic,170,12.161658
endocrine_system_diseases & graves_disease,endocrine_system_diseases,97,graves_disease,121,12.151737
graves_disease & thyroid_diseases,graves_disease,121,thyroid_diseases,284,12.151737
precursor_cell_lymphoblastic_leukemia_lymphoma & stomatognathic_diseases,precursor_cell_lymphoblastic_leukemia_lymphoma,243,stomatognathic_diseases,279,11.93929
amino_acid_metabolism_inborn_errors & vasculitis,amino_acid_metabolism_inborn_errors,7,vasculitis,296,11.922423
abnormalities_multiple & rheumatic_diseases,abnormalities_multiple,0,rheumatic_diseases,259,11.887236
arthritis_rheumatoid & immunologic_deficiency_syndromes,arthritis_rheumatoid,18,immunologic_deficiency_syndromes,141,11.875426
blood_platelet_disorders & polyneuropathies,blood_platelet_disorders,31,polyneuropathies,242,11.874505
celiac_disease & intestinal_neoplasms,celiac_disease,55,intestinal_neoplasms,148,11.820098
intestinal_neoplasms & malabsorption_syndromes,intestinal_neoplasms,148,malabsorption_syndromes,178,11.820098
